2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
,,,,,,,30.15080233,29.36365672,31.93779055,32.12365456,30.48393093,30.84868317,31.57436297,29.69541489,30.42194543,30.24264141,30.90723862,31.54509838,30.81720434,31.27558573,29.95781495
100,106.7796134,130.6549279,175.8518156,238.0894291,305.75595,388.8307926,489.7437029,574.1074546,482.1819962,633.1199865,761.7809577,822.1064754,886.4279322,939.9136447,912.2955984,841.7362552,908.2338495,997.8591751,1002.980301,1039.402054,
1.391026073,1.610082373,1.493715752,1.669060433,1.632855207,1.720716252,1.928404427,2.139413547,2.519456214,2.738001248,2.749554023,2.909214939,3.077146226,3.126181295,3.407135013,3.505981152,3.160539364,3.082330075,3.043665195,3.320638602,3.245054446,
1.772413959,1.602929741,1.946865551,2.642353022,2.873778366,3.434866797,3.839381234,4.895891873,5.397574797,4.042820931,4.247758958,4.461423188,4.553417967,4.676850788,4.590497629,3.457775896,3.820313911,4.090315835,4.075851475,4.323928396,4.139877494,
2.49E+11,2.66E+11,3.26E+11,4.38E+11,5.93E+11,7.62E+11,9.69E+11,1.22E+12,1.43E+12,1.20E+12,1.58E+12,1.90E+12,2.05E+12,2.21E+12,2.34E+12,2.27E+12,2.10E+12,2.26E+12,2.49E+12,2.50E+12,2.59E+12,3.36E+12
0.236672426,0.363530934,0.255349682,0.85627756,0.602591868,0.890871707,0.749129548,0.841585307,1.043636313,1.373855187,1.723957406,1.930700361,2.599990155,3.489800654,4.174978103,3.379345118,3.493363638,3.54485628,3.564144391,3.586578774,3.45659287,2.985128417
1.133611768,0.903332902,0.808405437,0.665370858,0.557165858,0.534922677,0.482900386,0.467318554,0.445297952,0.463032838,0.472463702,0.550194893,0.481148967,0.460667222,0.468830451,0.418118023,0.441975763,0.417099068,0.419092383,0.393780005,0.329770707,0.339609523
100,97.44044044,92.11166635,92.93084125,90.76772409,88.44255469,89.47295338,88.54620904,83.81236263,91.09617167,82.05059399,79.04874299,79.75523623,80.64771598,82.9487988,92.53344984,92.32795521,87.29397864,84.6240051,85.74895269,91.62078166,
27.75166707,28.55540258,30.1609834,30.63153931,30.14085554,30.92592327,31.81295316,34.80260988,36.85054281,35.3320232,29.63550198,29.68843707,24.93975561,24.50821591,18.55846491,19.98008368,21.15279586,22.26388163,23.24150696,25.63241877,35.91542072,36.20993747
3.428283779,3.664322343,5.170796778,6.216914269,7.060290306,8.530274674,9.608342395,9.282305462,8.71292185,9.041415394,9.491141757,8.483334228,9.771862396,9.838298137,9.085806517,9.437616487,8.551001724,7.668028121,7.247873113,6.550028217,6.1884826,
1.716639947,2.111164074,2.205837734,2.892986359,3.050427847,3.059485279,3.203368078,3.890593932,4.677934483,4.57674028,4.646191039,4.865596868,4.815894104,4.586173957,4.637153914,4.713159818,4.742988373,5.186012293,5.620481445,6.214790293,6.422427571,
78.98882025,78.48694569,76.81175636,74.07883852,72.5436348,69.76138121,68.1358013,66.87729988,65.60472781,66.4574797,64.78569191,63.50736655,61.84481375,63.09900867,63.50436372,65.33092567,66.12088407,65.20274432,63.74480444,62.8840404,63.56702716,
74.84485693,77.3247491,79.38836827,78.52333417,74.82565058,72.64773298,70.76040893,68.18399203,61.775258,64.19589519,61.19401473,56.27534514,54.76254915,54.67317088,57.14772776,60.97718088,61.91490236,59.76316789,58.31431671,57.07413042,59.93973158,55.68260214
4.14156705,3.981432351,3.528330716,3.858956785,4.037542007,3.559440304,3.18720738,3.722133233,4.758134771,4.920076215,4.617159513,4.651965566,5.406123756,5.498276541,5.817874778,6.661323606,6.797038296,6.607394842,6.18908396,7.028201854,8.210171199,8.125899361
18.82,19.18,6.08,5.73,6.22,3.47,3.54,3.04,2.16,1.82,1.86,1.64,,,1.6,2.07,2.34,2.66,1.99,1.64,2.04,
37.20517,36.52144,28.85069,23.40757,17.19168,14.42645,14.92724,18.64407,19.30344,18.47371,14.29845,18.60546,,,17.61351,18.23052,19.14344,22.47207,13.92848,7.158552,7.190919,
